000,"Naturalized U.S. citizen","0","+/-292","0","292"
"B05003E",7.000,"Not a U.S. citizen","0","+/-292","0","292"
"B05003E",8.000,"18 years and over:","3,166","+/-587","2,579","3,753"
"B05003E",9.000,"Native","2,194","+/-710","1,484","2,904"
"B05003E",10.000,"Foreign born:","972","+/-496","476","1,468"
"B05003E",11.000,"Naturalized U.S. citizen","972","+/-496","476","1,468"
"B05003E",12.000,"Not a U.S. citizen","0","+/-292","0","292"
"B05003E",13.000,"Female:","5,322","+/-689","4,633","6,011"
"B05003E",14.0
