004C",.,"Universe:  American Indian and Alaska Native alone population in the United States",,,,
"B06004C",1.000,"Total:","947","+/-495","452","1,442"
"B06004C",2.000,"Born in state of residence","616","+/-387","229","1,003"
"B06004C",3.000,"Born in other state in the United States","271","+/-184","87","455"
"B06004C",4.000,"Native; born outside the United States","60","+/-79","0","139"
"B06004C",5.000,"Foreign born","0","+/-265","0","265"
"B06004D",.,"PLACE OF BIRTH BY RACE (ASIAN ALONE) IN THE UNITED STAT
