2.000,"Less than $10,000:","4,950","+/-1,227","3,723","6,177"
"C25122",3.000,"Less than $500","439","+/-343","96","782"
"C25122",4.000,"$500 to $999","896","+/-533","363","1,429"
"C25122",5.000,"$1,000 or more","3,144","+/-992","2,152","4,136"
"C25122",6.000,"No cash rent","471","+/-407","64","878"
"C25122",7.000,"$10,000 to $19,999:","7,577","+/-1,615","5,962","9,192"
"C25122",8.000,"Less than $500","869","+/-426","443","1,295"
"C25122",9.000,"$500 to $999","2,274","+/-755","1,519","3,029"
"C25122",10.000,
