000,"$35,000 to $49,999","742","+/-409","333","1,151"
"C19037I",41.000,"$50,000 to $74,999","658","+/-389","269","1,047"
"C19037I",42.000,"$75,000 to $99,999","174","+/-162","12","336"
"C19037I",43.000,"$100,000 to $149,999","271","+/-344","0","615"
"C19037I",44.000,"$150,000 to $199,999","57","+/-98","0","155"
"C19037I",45.000,"$200,000 or more","0","+/-303","0","303"
"C19101",.,"FAMILY INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS)",,,,
"C19101",.,"Universe:  Families",,,,
"C19101",1.00
