ata/basins/sc/indian/1997/q2/,inq21997.tgz,1127502.nc,19970626,10.1167,54.1833,0.700000,998.600,13.3090,27.3230,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1127503.nc,19970627,8.9500,55.8000,0.700000,998.600,9.21800,26.7080,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1127504.nc,19970627,7.9000,57.2500,0.700000,998.600,8.90700,28.4160,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1127505.nc,19970627,6.7833,58.7833,0.700000,998.600,8.00700,28.9210,,
woce-uot,./data/basins/
