.000,"25 to 29 minutes","505","+/-348","157","853"
"B08134",87.000,"30 to 34 minutes","1,951","+/-730","1,221","2,681"
"B08134",88.000,"35 to 44 minutes","3,947","+/-972","2,975","4,919"
"B08134",89.000,"45 to 59 minutes","8,921","+/-1,609","7,312","10,530"
"B08134",90.000,"60 or more minutes","15,933","+/-1,998","13,935","17,931"
"B08134",91.000,"Railroad or ferryboat:","9,561","+/-1,648","7,913","11,209"
"B08134",92.000,"Less than 10 minutes","102","+/-171","0","273"
"B08134",93.000,"10 to 14 minutes","0"
