Vacant-for-rent and rented, not occupied housing units",,,,
"B992516",1.000,"Total:","13,413","+/-2,369","11,044","15,782"
"B992516",2.000,"Imputed","3,721","+/-1,318","2,403","5,039"
"B992516",3.000,"Not imputed","9,692","+/-2,019","7,673","11,711"
"B992518",.,"IMPUTATION OF GROSS RENT",,,,
"B992518",.,"Universe:  Renter-occupied housing units",,,,
"B992518",1.000,"Total:","101,186","+/-5,442","95,744","106,628"
"B992518",2.000,"Imputed","21,874","+/-2,934","18,940","24,808"
"B992518",3.000,"Not imputed","
