anic or Latino (of any race)",291,"Renter-occupied housing units","135,979","+/-4,471","40,651","+/-3,002"
"400","Hispanic or Latino (of any race)",292,"Less than 30 percent","50.4","+/-2.6","47.9","+/-4.8"
"400","Hispanic or Latino (of any race)",293,"30 percent or more","49.6","+/-2.6","52.1","+/-4.8"
"400","Hispanic or Latino (of any race)",294,"Median gross rent (dollars)","710","+/-22","659","+/-35"
"401","Mexican",1,"Total population","967,089","*****","279,639","+/-5,134"
"401","Mexican",2,"One race"
