303",12.0,"Usually worked 15 to 34 hours per week","13.9","+/-0.8","11.0","+/-1.0","16.5","+/-1.1",,,,,,
"S2303",13.0,"40 or more weeks","6.5","+/-0.4","4.7","+/-0.6","8.2","+/-0.7",,,,,,
"S2303",14.0,"50 to 52 weeks","4.3","+/-0.4","3.2","+/-0.6","5.3","+/-0.6",,,,,,
"S2303",15.0,"Usually worked 1 to 14 hours per week","3.3","+/-0.4","2.6","+/-0.5","4.0","+/-0.6",,,,,,
"S2303",16.0,"40 or more weeks","1.4","+/-0.2","1.0","+/-0.3","1.8","+/-0.4",,,,,,
"S2303",17.0,"50 to 52 weeks","1.0","+/-0.2","0.8","+/-0
