lone, not Hispanic or Latino population 16 years and over",,,,
"B23002H",1.000,"Total:","2,474,957","+/-6,795","2,468,162","2,481,752"
"B23002H",2.000,"Male:","1,201,202","+/-3,786","1,197,416","1,204,988"
"B23002H",3.000,"16 to 19 years:","84,538","+/-2,610","81,928","87,148"
"B23002H",4.000,"In labor force:","36,713","+/-2,566","34,147","39,279"
"B23002H",5.000,"In Armed Forces","1,273","+/-536","737","1,809"
"B23002H",6.000,"Civilian:","35,440","+/-2,500","32,940","37,940"
"B23002H",7.000,"Employed","29,
