transportation, and material moving occupations:","2,124","+/-701","1,423","2,825"
"B24060",189.000,"Production occupations","471","+/-334","137","805"
"B24060",190.000,"Transportation and material moving occupations:","1,653","+/-597","1,056","2,250"
"B24060",191.000,"Supervisors, transportation and material moving workers","0","+/-265","0","265"
"B24060",192.000,"Air transportation workers","51","+/-80","0","131"
"B24060",193.000,"Motor vehicle operators","1,185","+/-518","667","1,703"
"B24060",194.000,"R
