to $34,999","3,832","+/-999","2,833","4,831"
"B19037H",26.000,"$35,000 to $39,999","4,570","+/-1,296","3,274","5,866"
"B19037H",27.000,"$40,000 to $44,999","2,532","+/-782","1,750","3,314"
"B19037H",28.000,"$45,000 to $49,999","3,294","+/-1,135","2,159","4,429"
"B19037H",29.000,"$50,000 to $59,999","7,579","+/-1,712","5,867","9,291"
"B19037H",30.000,"$60,000 to $74,999","12,528","+/-1,942","10,586","14,470"
"B19037H",31.000,"$75,000 to $99,999","11,024","+/-1,772","9,252","12,796"
"B19037H",32.000,"$100,000
