",29.000,"Installation, maintenance, and repair occupations","7,934","+/-1,669","6,265","9,603"
"B24010A",30.000,"Production, transportation, and material moving occupations:","20,147","+/-2,492","17,655","22,639"
"B24010A",31.000,"Production occupations","7,303","+/-1,588","5,715","8,891"
"B24010A",32.000,"Transportation and material moving occupations","12,844","+/-2,216","10,628","15,060"
"B24010A",33.000,"Female:","138,637","+/-5,078","133,559","143,715"
"B24010A",34.000,"Management, professional, and r
