Ukrainian","0.2%","0.2","0.1%","0.1",
"DP02",147.0,"Welsh","1.1%","0.4","0.8%","0.2",
"DP02",148.0,"West Indian (excluding Hispanic origin groups)","0.1%","0.1","0.0%","0.1",
"DP03",0.0,,,,,,
"DP03",0.5,,,,,,
"DP03",0.8,,,,,,
"DP03",1.0,"Population 16 years and over","155,397","626","155,531","610",
"DP03",2.0,"In labor force","54.2%","1.4","54.3%","1.1",
"DP03",3.0,"Civilian labor force","53.9%","1.4","54.3%","1.1",
"DP03",4.0,"Employed","50.3%","1.4","50.1%","1.1",
"DP03",5.0,"Unemployed","3.6%","0.6","4.
