,250 to $1,499","11,918","+/-1,874","10,044","13,792"
"B25122",84.000,"$1,500 to $1,999","10,462","+/-1,994","8,468","12,456"
"B25122",85.000,"$2,000 or more","4,387","+/-1,219","3,168","5,606"
"B25122",86.000,"No cash rent","4,548","+/-1,185","3,363","5,733"
"B25122",87.000,"$75,000 to $99,999:","44,248","+/-5,010","39,238","49,258"
"B25122",88.000,"With cash rent:","42,417","+/-4,926","37,491","47,343"
"B25122",89.000,"Less than $100","0","+/-283","0","283"
"B25122",90.000,"$100 to $199","0","+/-283","0",
