",16.000,"$125,000 to $149,999","N","N","N","N"
"B25085",17.000,"$150,000 to $174,999","N","N","N","N"
"B25085",18.000,"$175,000 to $199,999","N","N","N","N"
"B25085",19.000,"$200,000 to $249,999","N","N","N","N"
"B25085",20.000,"$250,000 to $299,999","N","N","N","N"
"B25085",21.000,"$300,000 to $399,999","N","N","N","N"
"B25085",22.000,"$400,000 to $499,999","N","N","N","N"
"B25085",23.000,"$500,000 to $749,999","N","N","N","N"
"B25085",24.000,"$750,000 to $999,999","N","N","N","N"
"B25085",25.000,"$1,000,
