SEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) (WHITE ALONE, NOT HISPANIC OR LATINO HOUSEHOLDER)",,,,
"B19001H",.,"Universe:  Households with a householder who is White alone, not Hispanic or Latino",,,,
"B19001H",1.000,"Total:","204,855","+/-4,485","200,370","209,340"
"B19001H",2.000,"Less than $10,000","9,811","+/-1,661","8,150","11,472"
"B19001H",3.000,"$10,000 to $14,999","8,972","+/-1,630","7,342","10,602"
"B19001H",4.000,"$15,000 to $19,999","9,045","+/-1,512","7,533","10,557
