Management, professional, and related occupations","35.1","+/-1.3","40.0","+/-1.6"
"002","White alone",178,"Service occupations","19.5","+/-1.1","16.7","+/-1.3"
"002","White alone",179,"Sales and office occupations","25.6","+/-1.0","26.3","+/-1.3"
"002","White alone",180,"Farming, fishing, and forestry occupations","0.3","+/-0.1","0.2","+/-0.2"
"002","White alone",181,"Construction, extraction, maintenance, and repair occupations","10.7","+/-0.8","9.7","+/-0.9"
"002","White alone",182,"Production, transport
