5D",.,"Universe:  Asian alone population 16 years and over",,,,
"B20005D",1.000,"Total:","138,915","+/-1,534","137,381","140,449"
"B20005D",2.000,"Male:","65,446","+/-1,109","64,337","66,555"
"B20005D",3.000,"Worked full-time, year-round in the past 12 months:","35,807","+/-2,153","33,654","37,960"
"B20005D",4.000,"No earnings","0","+/-292","0","292"
"B20005D",5.000,"With earnings:","35,807","+/-2,153","33,654","37,960"
"B20005D",6.000,"$1 to $2,499 or loss","158","+/-251","0","409"
"B20005D",7.000,"$2,500 
