000,"Now married, except separated","334,566","+/-9,357","325,209","343,923"
"B06008",28.000,"Divorced","32,459","+/-3,526","28,933","35,985"
"B06008",29.000,"Separated","10,598","+/-2,081","8,517","12,679"
"B06008",30.000,"Widowed","22,754","+/-2,415","20,339","25,169"
"B06009",.,"PLACE OF BIRTH BY EDUCATIONAL ATTAINMENT IN THE UNITED STATES",,,,
"B06009",.,"Universe:  Population 25 years and over in the United States",,,,
"B06009",1.000,"Total:","2,975,686","+/-6,867","2,968,819","2,982,553"
"B06009",2.00
