ian age --",,,,
"B01002H",1.000,"Total:","41.3","+/-0.7","40.6","42.0"
"B01002H",2.000,"Male","40.3","+/-0.8","39.5","41.1"
"B01002H",3.000,"Female","42.3","+/-0.8","41.5","43.1"
"B01002I",.,"MEDIAN AGE BY SEX (HISPANIC OR LATINO)",,,,
"B01002I",.,"Universe:  Hispanic or Latino population",,,,
"B01002I",0.700,"Median age --",,,,
"B01002I",1.000,"Total:","30.0","+/-0.7","29.3","30.7"
"B01002I",2.000,"Male","29.1","+/-0.7","28.4","29.8"
"B01002I",3.000,"Female","31.4","+/-1.0","30.4","32.4"
"B01003",.,"TOTAL 
