mbination with one or more other races",229,"Married-couple family","77.0","+/-1.6","79.2","+/-1.8"
"003","White alone or in combination with one or more other races",230,"Median income (dollars)","72,012","+/-1,566","73,933","+/-2,666"
"003","White alone or in combination with one or more other races",231,"Male householder, no spouse present, family","7.8","+/-1.0","7.2","+/-1.1"
"003","White alone or in combination with one or more other races",232,"Median income (dollars)","41,590","+/-8,632","45,454","+
