cent","1.0%","0.4","0.8%","0.3",
"DP04",121.0,"35.0 percent or more","2.1%","0.5","3.5%","0.9",
"DP04",122.0,"Not computed","171","**","60","**",
"DP04",122.3,,,,,,
"DP04",122.5,"GROSS RENT",,,,,
"DP04",123.0,"Renter-occupied units","21,940","1,578","24,774","1,389",
"DP04",124.0,"Less than $200","0.5%","0.3","0.3%","0.2",
"DP04",125.0,"$200 to $299","1.8%","0.9","2.5%","1.2",
"DP04",126.0,"$300 to $499","7.8%","1.9","13.1%","2.9",
"DP04",127.0,"$500 to $749","22.1%","3.2","29.8%","3.3","*"
"DP04",128.0,"$7
