to $4,999","0","+/-292","0","292"
"B20005D",8.000,"$5,000 to $7,499","98","+/-117","0","215"
"B20005D",9.000,"$7,500 to $9,999","152","+/-162","0","314"
"B20005D",10.000,"$10,000 to $12,499","454","+/-337","117","791"
"B20005D",11.000,"$12,500 to $14,999","175","+/-274","0","449"
"B20005D",12.000,"$15,000 to $17,499","904","+/-601","303","1,505"
"B20005D",13.000,"$17,500 to $19,999","359","+/-332","27","691"
"B20005D",14.000,"$20,000 to $22,499","110","+/-131","0","241"
"B20005D",15.000,"$22,500 to $24,999"
