2.000,"Built 2005 or later","5,181,957,500","+/-1,016,395,623","4,165,561,877","6,198,353,123"
"B25108",3.000,"Built 2000 to 2004","12,138,937,500","+/-1,218,467,916","10,920,469,584","13,357,405,416"
"B25108",4.000,"Built 1990 to 1999","14,977,987,500","+/-1,335,877,461","13,642,110,039","16,313,864,961"
"B25108",5.000,"Built 1980 to 1989","12,070,895,000","+/-948,850,422","11,122,044,578","13,019,745,422"
"B25108",6.000,"Built 1970 to 1979","5,833,817,500","+/-610,071,274","5,223,746,226","6,443,888,774"
