rman (032-045)",128,"Native","836,579","+/-7,225","161,692","+/-7,714"
"535","German (032-045)",129,"Male","49.2","+/-0.3","49.2","+/-1.6"
"535","German (032-045)",130,"Female","50.8","+/-0.3","50.8","+/-1.6"
"535","German (032-045)",131,"Foreign born","130,510","+/-7,225","5,360","+/-1,440"
"535","German (032-045)",132,"Male","47.6","+/-2.2","38.2","+/-9.5"
"535","German (032-045)",133,"Female","52.4","+/-2.2","61.8","+/-9.5"
"535","German (032-045)",134,"Naturalized U.S. citizen","51,033","+/-3,351","3,20
