s/sc/indian/1997/q2/,inq21997.tgz,1126816.nc,19970617,-21.4167,110.517,0.700000,759.400,5.63200,24.4950,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1126817.nc,19970617,-22.4833,110.950,0.700000,759.400,6.09600,24.2040,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1126818.nc,19970617,-23.2667,111.283,0.700000,759.400,6.38700,24.1360,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1126819.nc,19970618,-24.5333,111.783,0.700000,759.400,5.81400,22.4320,,
woce-uot,./data/basins/sc
