, 081)",59,"Population 15 years and over","637,673","+/-5,662","87,769","+/-5,413"
"541","Irish (050, 081)",60,"Now married, except separated","51.4","+/-1.2","47.3","+/-3.2"
"541","Irish (050, 081)",61,"Widowed","5.5","+/-0.4","7.6","+/-1.4"
"541","Irish (050, 081)",62,"Divorced","13.9","+/-0.9","18.5","+/-3.0"
"541","Irish (050, 081)",63,"Separated","2.3","+/-0.4","2.0","+/-0.8"
"541","Irish (050, 081)",64,"Never married","26.9","+/-1.1","24.5","+/-3.0"
"541","Irish (050, 081)",65,"Male 15 years and over"
