0,"Some other race","1.9","+/-0.4","1.1","+/-0.3","7.0","+/-2.7","2.3","+/-4.9",,,,
"S0802",18.0,"Two or more races","N","N","N","N","N","N","N","N",,,,
"S0802",18.3,,,,,,,,,,,,,
"S0802",19.0,"Hispanic or Latino origin (of any race)","3.9","+/-0.6","2.7","+/-0.5","12.9","+/-3.0","2.3","+/-4.9",,,,
"S0802",20.0,"White alone, not Hispanic or Latino","67.9","+/-1.3","69.9","+/-1.6","53.8","+/-3.9","16.0","+/-16.1",,,,
"S0802",20.3,,,,,,,,,,,,,
"S0802",20.5,"CITIZENSHIP STATUS",,,,,,,,,,,,
"S0802",21.0,"Native"
