05005",12.000,"Native","636","+/-351","285","987"
"C05005",13.000,"Foreign born","7,470","+/-1,406","6,064","8,876"
"C05006",.,"PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION",,,,
"C05006",.,"Universe: Foreign-born population excluding population born at sea",,,,
"C05006",1.000,"Total:","N","N","N","N"
"C05006",2.000,"Europe:","N","N","N","N"
"C05006",3.000,"Northern Europe:","N","N","N","N"
"C05006",4.000,"United Kingdom:","N","N","N","N"
"C05006",5.000,"United Kingdom, excluding England","N","N","N","N"
"
