,"Not imputed","250,381","+/-2,453","247,928","252,834"
"B992514",.,"IMPUTATION OF MEALS INCLUDED IN RENT",,,,
"B992514",.,"Universe:  Renter-occupied housing units paying cash rent",,,,
"B992514",1.000,"Total:","92,956","+/-3,518","89,438","96,474"
"B992514",2.000,"Imputed","860","+/-445","415","1,305"
"B992514",3.000,"Not imputed","92,096","+/-3,602","88,494","95,698"
"B992515",.,"IMPUTATION OF CONTRACT RENT",,,,
"B992515",.,"Universe:  Renter-occupied housing units",,,,
"B992515",1.000,"Total:","95,740",
