070",.,"Universe:  Renter-occupied housing units",,,,
"B25070",1.000,"Total:","101,186","+/-5,442","95,744","106,628"
"B25070",2.000,"Less than 10.0 percent","1,826","+/-898","928","2,724"
"B25070",3.000,"10.0 to 14.9 percent","6,267","+/-1,606","4,661","7,873"
"B25070",4.000,"15.0 to 19.9 percent","13,258","+/-2,092","11,166","15,350"
"B25070",5.000,"20.0 to 24.9 percent","12,276","+/-1,926","10,350","14,202"
"B25070",6.000,"25.0 to 29.9 percent","12,903","+/-1,925","10,978","14,828"
"B25070",7.000,"30.0 t
