"
"50000US0200","1"," 88","       267,987","         *****","         *****"
"50000US0200","1"," 89","       229,408","       225,422","       233,394"
"50000US0200","1"," 90","        38,579","        34,593","        42,565"
"50000US0200","1"," 91","           1.6","           1.1","           2.1"
"50000US0200","1"," 92","           6.2","           4.5","           7.9"
"50000US0200","1"," 93","       229,408","       225,422","       233,394"
"50000US0200","1"," 94","       143,241","       139,
