B19001D",.,"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) (ASIAN ALONE HOUSEHOLDER)",,,,
"B19001D",.,"Universe:  Households with a householder who is Asian alone",,,,
"B19001D",1.000,"Total:","7,166","+/-1,042","6,124","8,208"
"B19001D",2.000,"Less than $10,000","218","+/-193","25","411"
"B19001D",3.000,"$10,000 to $14,999","439","+/-295","144","734"
"B19001D",4.000,"$15,000 to $19,999","250","+/-220","30","470"
"B19001D",5.000,"$20,000 to $24,999","163","+/-170","0","333"
"B19
