69999 ,LIVESTOCK UNSPECIFIED , 999, State Totals,0 ,  ,0 ,  ,    ,194720300
2007 ,267999 ,MACADAMIA NUTS ,73 ,San Diego ,61 ,0.90 ,55 ,3450.91 ,TON ,189800
2007 ,267999 ,MACADAMIA NUTS , 999, State Totals,61 ,0.90 ,55 ,3450.91 ,    ,189800
2007 ,478799 ,MANURE ,19 ,Fresno ,  ,  ,940000 ,3.14 ,TON ,2952000
2007 ,478799 ,MANURE ,29 ,Kern ,  ,  ,698000 ,1.00 ,TONS ,698000
2007 ,478799 ,MANURE ,31 ,Kings ,  ,  ,1285644 ,0.95 ,TONS ,1221000
2007 ,478799 ,MANURE ,47 ,Merced ,  ,  ,1112415 ,4.53 ,TON ,503900
