1A",.,"SEX BY AGE (WHITE ALONE)",,,,
"B01001A",.,"Universe:  White alone population",,,,
"B01001A",1.000,"Total:","39,332","+/-4,029","35,303","43,361"
"B01001A",2.000,"Male:","18,935","+/-2,106","16,829","21,041"
"B01001A",3.000,"Under 5 years","1,310","+/-440","870","1,750"
"B01001A",4.000,"5 to 9 years","194","+/-158","36","352"
"B01001A",5.000,"10 to 14 years","737","+/-389","348","1,126"
"B01001A",6.000,"15 to 17 years","848","+/-388","460","1,236"
"B01001A",7.000,"18 and 19 years","955","+/-456","499"
