2513",.,"Universe:  Occupied housing units",,,,
"B992513",1.000,"Total:","1,661,033","+/-7,953","1,653,080","1,668,986"
"B992513",2.000,"Imputed","5,878","+/-916","4,962","6,794"
"B992513",3.000,"Not imputed","1,655,155","+/-7,879","1,647,276","1,663,034"
"B992514",.,"IMPUTATION OF MEALS INCLUDED IN RENT",,,,
"B992514",.,"Universe:  Renter-occupied housing units paying cash rent",,,,
"B992514",1.000,"Total:","383,983","+/-9,215","374,768","393,198"
"B992514",2.000,"Imputed","3,984","+/-779","3,205","4,763"
