nsportation, and material moving occupations:","28,706","+/-3,485","25,221","32,191"
"B24060",72.000,"Production occupations","11,405","+/-2,134","9,271","13,539"
"B24060",73.000,"Transportation and material moving occupations:","17,301","+/-2,386","14,915","19,687"
"B24060",74.000,"Supervisors, transportation and material moving workers","395","+/-359","36","754"
"B24060",75.000,"Air transportation workers","549","+/-437","112","986"
"B24060",76.000,"Motor vehicle operators","8,513","+/-1,556","6,957","10,
