,"6 to 11 years","28,531","+/-3,486","25,045","32,017"
"B17001",36.000,"12 to 14 years","12,378","+/-1,753","10,625","14,131"
"B17001",37.000,"15 years","4,597","+/-1,135","3,462","5,732"
"B17001",38.000,"16 and 17 years","9,714","+/-1,382","8,332","11,096"
"B17001",39.000,"18 to 24 years","26,929","+/-2,558","24,371","29,487"
"B17001",40.000,"25 to 34 years","53,413","+/-3,887","49,526","57,300"
"B17001",41.000,"35 to 44 years","57,525","+/-2,949","54,576","60,474"
"B17001",42.000,"45 to 54 years","49,008"
