on with one or more other races",53,"Not living alone","2.6","+/-0.6","2.4","+/-0.5"
"003","White alone or in combination with one or more other races",54,"Female householder","18.1","+/-1.2","18.1","+/-1.2"
"003","White alone or in combination with one or more other races",55,"Living alone","16.0","+/-1.0","15.9","+/-1.0"
"003","White alone or in combination with one or more other races",56,"Not living alone","2.1","+/-0.5","2.2","+/-0.5"
"003","White alone or in combination with one or more other races",5
