81)",134,"Naturalized U.S. citizen","3,853","+/-966","N","N"
"541","Irish (050, 081)",135,"Male","46.8","+/-12.7","N","N"
"541","Irish (050, 081)",136,"Female","53.2","+/-12.7","N","N"
"541","Irish (050, 081)",137,"Not a U.S. citizen","12,502","+/-2,409","N","N"
"541","Irish (050, 081)",138,"Male","58.4","+/-8.0","72.5","+/-29.6"
"541","Irish (050, 081)",139,"Female","41.6","+/-8.0","27.5","+/-29.6"
"541","Irish (050, 081)",140,"Entered 2000 or later","33.3","+/-11.3","N","N"
"541","Irish (050, 081)",141,"E
