21.000,"60 years and over","2,140","+/-703","1,437","2,843"
"C08101",22.000,"Public transportation (excluding taxicab):","36,261","+/-3,261","33,000","39,522"
"C08101",23.000,"16 to 19 years","1,785","+/-826","959","2,611"
"C08101",24.000,"20 to 24 years","4,143","+/-1,275","2,868","5,418"
"C08101",25.000,"25 to 44 years","18,090","+/-2,825","15,265","20,915"
"C08101",26.000,"45 to 54 years","6,416","+/-1,265","5,151","7,681"
"C08101",27.000,"55 to 59 years","3,666","+/-1,145","2,521","4,811"
"C08101",28.00
