000,"Transportation and warehousing:","N","N","N","N"
"B24030",178.000,"Air transportation","N","N","N","N"
"B24030",179.000,"Rail transportation","N","N","N","N"
"B24030",180.000,"Water transportation","N","N","N","N"
"B24030",181.000,"Truck transportation","N","N","N","N"
"B24030",182.000,"U. S. Postal service","N","N","N","N"
"B24030",183.000,"Other transportation, and support activities, and couriers","N","N","N","N"
"B24030",184.000,"Warehousing and storage","N","N","N","N"
"B24030",185.000,"Utilities"
