 and support activities, and couriers","1,442","+/-483","959","1,925"
"B24040",184.000,"Warehousing and storage","232","+/-333","0","565"
"B24040",185.000,"Utilities","543","+/-364","179","907"
"B24040",186.000,"Information:","3,468","+/-893","2,575","4,361"
"B24040",187.000,"Publishing, and motion picture and sound recording industries","1,883","+/-673","1,210","2,556"
"B24040",188.000,"Broadcasting and telecommunications","764","+/-443","321","1,207"
"B24040",189.000,"Internet publishing and internet serv
