","0","292"
"C24010B",15.000,"Production, transportation, and material moving occupations","189","+/-243","0","432"
"C24010C",.,"SEX BY OCCUPATION FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE)",,,,
"C24010C",.,"Universe:  Civilian employed American Indian and Alaska Native alone population 16 years and over",,,,
"C24010C",1.000,"Total:","N","N","N","N"
"C24010C",2.000,"Male:","N","N","N","N"
"C24010C",3.000,"Management, professional, and related occupations
