,093","+/-81","1,012","1,174"
"B25111",2.000,"Built 2005 or later","-","**","**","**"
"B25111",3.000,"Built 2000 to 2004","681","+/-54","627","735"
"B25111",4.000,"Built 1990 to 1999","1,471","+/-423","1,048","1,894"
"B25111",5.000,"Built 1980 to 1989","1,190","+/-165","1,025","1,355"
"B25111",6.000,"Built 1970 to 1979","1,204","+/-148","1,056","1,352"
"B25111",7.000,"Built 1960 to 1969","894","+/-162","732","1,056"
"B25111",8.000,"Built 1950 to 1959","1,324","+/-251","1,073","1,575"
"B25111",9.000,"Built 1
