",81.0,"$35,000 to $49,999","6.8%","0.6","7.5%","0.5",
"DP03",82.0,"$50,000 to $74,999","13.8%","0.8","13.3%","0.7",
"DP03",83.0,"$75,000 to $99,999","14.6%","0.8","15.7%","0.7",
"DP03",84.0,"$100,000 to $149,999","24.5%","0.9","24.6%","0.9",
"DP03",85.0,"$150,000 to $199,999","14.7%","0.7","12.6%","0.6","*"
"DP03",86.0,"$200,000 or more","19.5%","0.8","18.8%","0.8",
"DP03",87.0,"Median family income (dollars)","113,947","1,747","109,092","1,676","*"
"DP03",88.0,"Mean family income (dollars)","152,006","2,8
