00",12.000,"4.0 or more","3,736","+/-872","2,864","4,608"
"B25100",13.000,"Not computed","0","+/-292","0","292"
"B25101",.,"MORTGAGE STATUS BY MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS",,,,
"B25101",.,"Universe:  Owner-occupied housing units",,,,
"B25101",1.000,"Total:","N","N","N","N"
"B25101",2.000,"With a mortgage:","N","N","N","N"
"B25101",3.000,"Less than $20,000:","N","N","N","N"
"B25101",4.000,"Less than 20 percent","N","N","N","N"
"B25101",5.000,"20 to 29 percen
