",28.000,"Production, transportation, and material moving occupations:","N","N","N","N"
"C24060",29.000,"Production occupations","N","N","N","N"
"C24060",30.000,"Transportation and material moving occupations","N","N","N","N"
"C24060",31.000,"Employee of private company workers:","N","N","N","N"
"C24060",32.000,"Management, professional, and related occupations:","N","N","N","N"
"C24060",33.000,"Management, business, and financial occupations:","N","N","N","N"
"C24060",34.000,"Management occupations","N","N
