         149","     12.1","   +/-0.5","               0.7","               +/-0.4"
" ","         149"," "," "," "," "
" ","         150"," "," "," "," "
"S0201","         150","1,468,765"," +/-5,010","           104,660","             +/-4,622"
"S0201","         151","     64.2","   +/-0.6","              65.0","               +/-2.6"
"S0201","         152","     62.8","   +/-0.6","              62.0","               +/-2.5"
"S0201","         153","     58.7","   +/-0.6","              58.9","              
