,APPLES ALL ,99 ,Stanislaus ,919 ,16.76 ,15400 ,500.00 ,TON ,7700000
2007 ,211999 ,APPLES ALL ,991 ,Sum of Others ,322 ,8.40 ,2704 ,971.12 ,TONS ,2625900
2007 ,211999 ,APPLES ALL , 999, State Totals,15999 ,13.23 ,211742 ,508.31 ,    ,107631400
2007 ,217999 ,APRICOTS ALL ,13 ,Contra Costa ,533 ,6.88 ,3665 ,345.98 ,TONS ,1268000
2007 ,217999 ,APRICOTS ALL ,19 ,Fresno ,1728 ,6.54 ,11300 ,886.99 ,TON ,10023000
2007 ,217999 ,APRICOTS ALL ,29 ,Kern ,327 ,6.67 ,2180 ,1560.55 ,TONS ,3402000
2007 ,217999 ,APRI
