born",84,"Percent enrolled in kindergarten to grade 12","74.5","+/-2.8","68.4","+/-10.5"
"601","Foreign born",85,"Percent enrolled in college or graduate school","20.5","+/-2.5","31.6","+/-10.5"
"601","Foreign born",86,"Female 3 years and over enrolled in school","101,950","+/-3,644","6,836","+/-2,212"
"601","Foreign born",87,"Percent enrolled in kindergarten to grade 12","71.9","+/-2.3","67.0","+/-13.1"
"601","Foreign born",88,"Percent enrolled in college or graduate school","23.7","+/-2.2","29.5","+/-12.7
