r, truck, or van - carpooled:","34,349","+/-3,229","31,120","37,578"
"B08132",32.000,"12:00 a.m. to 4:59 a.m.","1,194","+/-771","423","1,965"
"B08132",33.000,"5:00 a.m. to 5:29 a.m.","394","+/-355","39","749"
"B08132",34.000,"5:30 a.m. to 5:59 a.m.","1,229","+/-677","552","1,906"
"B08132",35.000,"6:00 a.m. to 6:29 a.m.","1,391","+/-622","769","2,013"
"B08132",36.000,"6:30 a.m. to 6:59 a.m.","2,613","+/-906","1,707","3,519"
"B08132",37.000,"7:00 a.m. to 7:29 a.m.","6,365","+/-1,397","4,968","7,762"
"B08132",
