6.5,VEHICLES AVAILABLE,,,,,,,,,,,,,,
S0504,137,None,52.9,+/-0.7,52.4,+/-4.1,64.0,+/-8.1,63.1,+/-13.7,,,,,,
S0504,138,1 or more,47.1,+/-0.7,47.6,+/-4.1,36.0,+/-8.1,36.9,+/-13.7,,,,,,
S0504,138.3, ,,,,,,,,,,,,,,
S0504,138.5,SELECTED CHARACTERISTICS,,,,,,,,,,,,,,
S0504,139,No telephone service available,6.8,+/-0.4,5.3,+/-1.6,10.1,+/-6.3,9.4,+/-7.1,,,,,,
S0504,140,Linguistically isolated households,31.9,+/-0.6,23.6,+/-2.8,2.4,+/-1.8,N,N,,,,,,
S0504,140.3, ,,,,,,,,,,,,,,
S0504,141,Owner-occupied housing units,40
