00,"75 to 84 years","0","+/-265","0","265"
"B12002",142.000,"85 years and over","89","+/-147","0","236"
"B12002",143.000,"Other:","4,318","+/-909","3,409","5,227"
"B12002",144.000,"15 to 17 years","0","+/-265","0","265"
"B12002",145.000,"18 and 19 years","88","+/-131","0","219"
"B12002",146.000,"20 to 24 years","396","+/-323","73","719"
"B12002",147.000,"25 to 29 years","675","+/-441","234","1,116"
"B12002",148.000,"30 to 34 years","523","+/-343","180","866"
"B12002",149.000,"35 to 39 years","503","+/-370",
