,20.000,"$1,000 or more","32,089","+/-3,569","28,520","35,658"
"C25122",21.000,"No cash rent","3,069","+/-781","2,288","3,850"
"C25122",22.000,"$50,000 to $74,999:","83,621","+/-5,085","78,536","88,706"
"C25122",23.000,"Less than $500","3,338","+/-1,162","2,176","4,500"
"C25122",24.000,"$500 to $999","30,120","+/-2,966","27,154","33,086"
"C25122",25.000,"$1,000 or more","45,615","+/-4,011","41,604","49,626"
"C25122",26.000,"No cash rent","4,548","+/-1,185","3,363","5,733"
"C25122",27.000,"$75,000 or more:",
