l-time, year-round in the past 12 months:","66,828","+/-2,848","63,980","69,676"
"C20005H",4.000,"No earnings","64","+/-112","0","176"
"C20005H",5.000,"With earnings:","66,764","+/-2,852","63,912","69,616"
"C20005H",6.000,"$1 to $9,999 or loss","1,028","+/-601","427","1,629"
"C20005H",7.000,"$10,000 to $19,999","1,210","+/-524","686","1,734"
"C20005H",8.000,"$20,000 to $29,999","2,969","+/-1,170","1,799","4,139"
"C20005H",9.000,"$30,000 to $49,999","10,653","+/-2,228","8,425","12,881"
"C20005H",10.000,"$50,
