9",.,"TENURE BY HOUSEHOLD SIZE",,,,
"B25009",.,"Universe:  Occupied housing units",,,,
"B25009",1.000,"Total:","302,364","+/-6,049","296,315","308,413"
"B25009",2.000,"Owner occupied:","201,178","+/-5,813","195,365","206,991"
"B25009",3.000,"1-person household","44,541","+/-3,295","41,246","47,836"
"B25009",4.000,"2-person household","74,889","+/-4,135","70,754","79,024"
"B25009",5.000,"3-person household","34,045","+/-3,490","30,555","37,535"
"B25009",6.000,"4-person household","30,004","+/-2,880","27,124"
