$199,999","963","+/-532","431","1,495"
"C19001I",11.000,"$200,000 or more","715","+/-427","288","1,142"
"C19037",.,"AGE OF HOUSEHOLDER BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS)",,,,
"C19037",.,"Universe:  Households",,,,
"C19037",1.000,"Total:","302,364","+/-6,049","296,315","308,413"
"C19037",2.000,"Householder under 25 years:","13,794","+/-1,728","12,066","15,522"
"C19037",3.000,"Less than $10,000","2,243","+/-854","1,389","3,097"
"C19037",4.000,"$10,000 to $14,999","7
