s/sc/indian/1997/q2/,inq21997.tgz,1072199.nc,19970517,-12.3000,126.632,0.700000,460.500,28.9500,29.1700,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1072200.nc,19970517,-12.2900,127.183,0.700000,460.500,28.4500,29.1600,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1072201.nc,19970517,-12.2950,127.927,0.700000,460.500,27.1500,28.9800,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,1072202.nc,19970517,-12.3017,128.577,0.700000,460.500,27.9900,29.1600,,
woce-uot,./data/basins/sc
