c or Latino",224,"With retirement income","18.0","+/-0.8","18.2","+/-0.8"
"450","Not Hispanic or Latino",225,"Mean retirement income (dollars)","15,904","+/-1,392","15,914","+/-1,403"
"450","Not Hispanic or Latino",226,"With Food Stamp benefits","13.5","+/-1.0","13.4","+/-1.0"
"450","Not Hispanic or Latino",227,"Families","180,513","+/-4,481","177,636","+/-4,255"
"450","Not Hispanic or Latino",228,"Median family income (dollars)","45,219","+/-1,316","45,628","+/-1,259"
"450","Not Hispanic or Latino",229,"Ma
