00 to $199,999","9.8%","1.8","10.5%","1.6",
"DP04",84.0,"$200,000 to $299,999","12.5%","1.8","10.2%","1.6",
"DP04",85.0,"$300,000 to $499,999","7.4%","1.6","5.7%","1.3",
"DP04",86.0,"$500,000 to $999,999","1.1%","0.5","0.7%","0.5",
"DP04",87.0,"$1,000,000 or more","0.5%","0.4","0.1%","0.1",
"DP04",88.0,"Median (dollars)","95,900","5,975","97,500","5,357",
"DP04",88.3,,,,,,
"DP04",88.5,"MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS",,,,,
"DP04",89.0,"Owner-occupied units","27,744","1,150","25,826","956",
