18008",.,"SEX BY EMPLOYMENT DISABILITY FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION 16 TO 64 YEARS",,,,
"C18008",.,"Universe:  Civilian noninstitutionalized population 16 to 64 years",,,,
"C18008",1.000,"Total:","2,968,429","+/-8,596","2,959,833","2,977,025"
"C18008",2.000,"Male:","1,444,752","+/-5,827","1,438,925","1,450,579"
"C18008",3.000,"With an employment disability","76,182","+/-4,785","71,397","80,967"
"C18008",4.000,"No employment disability","1,368,570","+/-6,650","1,361,920","1,375,220"
"C180
