led in nursery school, preschool, kindergarten","123,934","+/-5,109","118,825","129,043"
"C14006",13.000,"Enrolled in grade 1 to grade 4","215,298","+/-6,070","209,228","221,368"
"C14006",14.000,"Enrolled in grade 5 to grade 8","227,319","+/-7,160","220,159","234,479"
"C14006",15.000,"Enrolled in grade 9 to grade 12","243,687","+/-5,189","238,498","248,876"
"C14006",16.000,"Enrolled in college or graduate school","253,482","+/-9,537","243,945","263,019"
"C14006",17.000,"Not enrolled in school","2,874,970","
